"archive_path","uncompressed_bytes","extension","preliminary_classification","classification_reason","public_repository_action","final_decision","reviewer_notes"
"PDARTS/metadata.csv","316209",".csv","REVIEW_REQUIRED","Dataset metadata or split report requiring licensing and identifier review.","Do not publish by default; document official dataset acquisition.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/_EVAL_LEDGER.csv","1434",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/_EVAL_LEDGER.csv","21963",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/8.csv","1429",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/best_full.pt","11268858",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/best_weights.pt","5725056",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/calibration_ece.csv","1040",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/confusion_matrix.csv","195",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/eval.log","267429",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/last_full.pt","11268858",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/last_weights.pt","5725056",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/per_class_metrics.csv","554",".csv","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/pr_curve_macro_micro.csv","985021",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/roc_curve_macro_micro.csv","113252",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/run_args.json","1690",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_metrics.json","4069",".json","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_metrics_summary.csv","386",".csv","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/test_predictions.csv","294126",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/train_history.csv","35841",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/246/EVAL_target__TARGET__gidf143ef5653__m8__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-090159/val_predictions.csv","172468",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/best_full.pt","16323491",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/best_weights.pt","8299820",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/calibration_ece.csv","1044",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/confusion_matrix.csv","194",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/eval.log","268569",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/last_full.pt","16323491",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/last_weights.pt","8299820",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/per_class_metrics.csv","554",".csv","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/pr_curve_macro_micro.csv","923346",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/roc_curve_macro_micro.csv","116701",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/run_args.json","1691",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/test_metrics.json","4074",".json","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/test_metrics_summary.csv","389",".csv","EXTRACT_CANONICAL_RESULT","Compact genotype or metric artifact potentially relevant to the scientific record.","Reconcile with the manuscript before publishing a normalized result record.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/test_predictions.csv","295711",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/train_history.csv","35862",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/0final/imagesize224task2/D/genotype2/EVAL_target__TARGET__gidf143ef5653__m12__seed2__img224__bs8__lr0.025__wd0.0003__ep300__20251226-151313/val_predictions.csv","173433",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/_EVAL_LEDGER.csv","17420",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m10__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113642/best_full.pt","12220154",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m10__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113642/best_weights.pt","6197834",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m10__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113642/eval.log","1610",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m10__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113642/run_args.json","1640",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m10__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113642/train_history.csv","158",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m12__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113803/best_full.pt","13272365",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m12__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113803/best_weights.pt","6740386",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m12__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113803/eval.log","1609",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m12__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113803/run_args.json","1640",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m12__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113803/train_history.csv","159",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m14__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113929/best_full.pt","16971393",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m14__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113929/best_weights.pt","8610874",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m14__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113929/eval.log","1610",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m14__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113929/run_args.json","1640",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m14__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113929/train_history.csv","161",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m2__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113213/best_full.pt","1368058",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m2__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113213/best_weights.pt","694656",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m2__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113213/eval.log","1608",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m2__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113213/run_args.json","1639",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m2__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113213/train_history.csv","161",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m4__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113308/best_full.pt","4227706",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m4__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113308/best_weights.pt","2144194",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m4__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113308/eval.log","1608",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m4__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113308/run_args.json","1639",".json","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m4__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113308/train_history.csv","161",".csv","PRESERVE_PRIVATE","Historical experiment artifact, ledger, prediction record, or generated output.","Retain privately until canonical-result reconciliation.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m6__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113414/best_full.pt","5372474",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m6__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113414/best_weights.pt","2733210",".pt","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
"PDARTS/output/eval_runs/64/EVAL_target__TARGET__gid15c3110bc2__m6__seed0__img32__bs64__lr0.025__wd0.0003__ep300__20251221-113414/eval.log","1608",".log","PRESERVE_PRIVATE","Large checkpoint, numerical intermediate, or detailed historical execution log.","Keep outside Git; publish only compact provenance summaries.","",""
