"archive_path","candidate_kind","sha256","batch1_classification","preliminary_source_role","nested_comparison_status","matched_inner_paths","final_disposition","public_destination","release_transformation","maintained_relationship","decision_basis","approval_status"
"PDARTS/Github/master/genotypes.py","python_source","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","pdarts-master/genotypes.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/model.py","python_source","7054c78634bf5374390f197200a6d7a66b740ef12d97f27a285073357952f3c8","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","pdarts-master/model.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/model_search.py","python_source","55031d82f0267cae939c469ae12d1db6002a271e9ecf0a48ae1f9ac0dc0f9384","PUBLISH_AS_HISTORICAL","architecture_search","exact_same_basename_and_sha256","pdarts-master/model_search.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/operations.py","python_source","9fec86be75abba79fb6ecc1265ed13602f71e165906385964cbcffe6d1837522","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","pdarts-master/operations.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/skin_csv_dataset.py","python_source","d7f8ee22e2ce94c23fe9e784b3384ae4a03d4d329540918e33ab8e45340f669b","MIGRATE_TO_MAINTAINED","data_loading","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/skin_csv_dataset.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/skin_transforms.py","python_source","dbcd25375c81220a8c7b8fce966a662aaaa09160112f5dee344771f8d7874acd","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/skin_transforms.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/splits.py","python_source","2dc6bea51e05b587ed5df858049234858f986c0d9618942dbcc03323a4b81827","MIGRATE_TO_MAINTAINED","data_preparation","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/splits.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
"PDARTS/Github/master/test.py","python_source","f474a8304ae3f635636fc80b994989c34cd83ba011d0531306fe4e526aaac5fd","PUBLISH_AS_HISTORICAL","architecture_evaluation","exact_same_basename_and_sha256","pdarts-master/test.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/test_imagenet.py","python_source","c1f90f11a5868b96dc223c008c5d98b6d68938a0b1edd7bdd7023db18b740a75","PUBLISH_AS_HISTORICAL","architecture_evaluation","exact_same_basename_and_sha256","pdarts-master/test_imagenet.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/train_cifar.py","python_source","388fe5e87ef7b0c04760e01d9297053c3d040674a2310df6891a282743c95a2a","PUBLISH_AS_HISTORICAL","architecture_evaluation","exact_same_basename_and_sha256","pdarts-master/train_cifar.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/train_imagenet.py","python_source","a320d898b61164734d22cd62c8e67a728dc135f28ad1d4a6870b48ec0d9f5517","PUBLISH_AS_HISTORICAL","architecture_evaluation","exact_same_basename_and_sha256","pdarts-master/train_imagenet.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/train_search.py","python_source","47029f8aa98515b9eed819348a0fbb0bc6ed22798be4c6ad1ea1db4ed32c2658","PUBLISH_AS_HISTORICAL","architecture_search","exact_same_basename_and_sha256","pdarts-master/train_search.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/master/utils.py","python_source","6e6e855c44bef47d9e2c5ce52b79f2b131862d8e0b9e783cab54c7cbff64e075","MIGRATE_TO_MAINTAINED","shared_nas_core","same_basename_content_differs","pdarts-master/utils.py","REIMPLEMENT_FROM_SPECIFICATION","","exact_patch_record_required_before_reimplementation","Required utility behavior will be implemented and tested separately after the exact local modification is documented","Local utils.py differs from the bundled counterpart; direct publication would obscure upstream lineage and the local compatibility change","final_for_batch3"
"PDARTS/Github/master/visualize.py","python_source","911bef2e2f11dad8d7a9520451437809febd9d359e83f6515338b8787b669d28","PUBLISH_AS_HISTORICAL","general_or_unresolved_source","exact_same_basename_and_sha256","pdarts-master/visualize.py","UPSTREAM_REFERENCE_ONLY","","none","Future maintained implementation must use an approved dependency or independently documented implementation","Byte-identical to bundled P-DARTS core source; avoid republishing duplicated upstream-derived code pending exact revision and license identification","final_for_batch3"
"PDARTS/Github/pdarts-master - Copy.zip","nested_source_archive","50df0d70713fd8223a23e17496b49d0d4c357ab260df60349560e42b156afaf1","PRESERVE_PRIVATE","bundled_upstream_or_historical_source","not_applicable","","PRESERVE_PRIVATE","","none","None; use lineage evidence only","Bundled source archive; exact upstream revision and licensing are unresolved; nested archives are not public repository artifacts","final_for_batch3"
"PDARTS/Github/pdarts-master.zip","nested_source_archive","c023d983028090d5f8102052c161b9c073662292f45045af95b1c65b14f56764","PRESERVE_PRIVATE","bundled_upstream_or_historical_source","not_applicable","","PRESERVE_PRIVATE","","none","None; use lineage evidence only","Bundled source archive; exact upstream revision and licensing are unresolved; nested archives are not public repository artifacts","final_for_batch3"
"PDARTS/split to classes.py","python_source","ce8298ca4c4e4a2c75d73cb8bb7d892dd46e54008a96f9fa3edab49bbb271997","MIGRATE_TO_MAINTAINED","data_preparation","no_nested_python_match","","PUBLISH_AS_HISTORICAL","reference_implementations/historical/data/split to classes.py","sanitized_snapshot_with_patch_manifest","Scientific behavior will inform a separate configurable and tested maintained implementation","Project-specific skin-lesion research source; retain as historical evidence, but do not present the archived monolithic workflow as the maintained interface","pending_sanitization_and_content_review"
